steps,apple_score,score,size,path_finder,poly_features,all_data,nb_parameter
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,1,-59,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,1,-59,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,1,-59,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
9,0,-109,10,a_star,False,True,0
